epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,986.933,1.08465,2.18818,1.35568,0.60601,0.71689,0.67716,0.45427,1.14266,2.052,1.41096,0.000470147,0.000470147,0.000470147
2,1962.98,1.11162,1.6538,1.35983,0.62111,0.64901,0.62311,0.40541,1.30045,2.06535,1.48734,0.000852779,0.000852779,0.000852779
3,2929.36,1.12633,1.57322,1.36521,0.41055,0.55197,0.50181,0.30758,1.53161,3.17531,1.75775,0.0011411,0.0011411,0.0011411
4,3907.97,1.12697,1.40305,1.34794,0.62958,0.72688,0.71088,0.48172,1.21052,1.70007,1.45504,0.00100459,0.00100459,0.00100459
5,4882.23,1.06614,1.23882,1.30531,0.75191,0.75375,0.7637,0.5196,1.18947,1.27385,1.40599,0.000863116,0.000863116,0.000863116
6,5865.97,1.0522,1.16261,1.29098,0.6889,0.75897,0.7519,0.53012,1.13788,1.27241,1.40877,0.000721645,0.000721645,0.000721645
7,6842.98,1.01113,1.09992,1.25225,0.77721,0.84538,0.81419,0.57348,1.12251,1.07581,1.36839,0.000580174,0.000580174,0.000580174
8,7817.1,0.9918,1.02611,1.23339,0.77819,0.82172,0.81735,0.57212,1.11836,1.01203,1.35977,0.000438703,0.000438703,0.000438703
9,8793.92,0.95672,0.9505,1.22082,0.77354,0.8518,0.82234,0.59384,1.12298,0.97298,1.35471,0.000297232,0.000297232,0.000297232
10,9774.06,0.92617,0.88128,1.18652,0.76697,0.85166,0.83777,0.59587,1.13765,0.98055,1.35094,0.000155761,0.000155761,0.000155761
