epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8832,0.9833,2.41917,1.39521,0.66097,0.50553,0.60364,0.43055,0.8173,1.93829,1.32661,0.000464425,0.000464425,0.000464425
2,33.8493,0.99437,1.66426,1.40306,0.63018,0.51116,0.54608,0.39191,0.9907,1.71823,1.46692,0.000922131,0.000922131,0.000922131
3,47.044,1.02818,1.51694,1.40874,0.38294,0.47607,0.47388,0.32448,1.10276,2.80245,1.56718,0.00136097,0.00136097,0.00136097
4,60.2965,1.0014,1.46206,1.39126,0.70461,0.57938,0.62404,0.4128,0.99468,2.02301,1.55641,0.00134412,0.00134412,0.00134412
5,73.5804,1.00852,1.39934,1.39964,0.73793,0.61232,0.71326,0.48189,0.9743,1.58783,1.43924,0.00131582,0.00131582,0.00131582
6,86.6413,0.96338,1.29191,1.33781,0.49083,0.61705,0.58424,0.45049,0.89429,1.65337,1.39359,0.00128753,0.00128753,0.00128753
7,99.9709,0.94731,1.30597,1.34716,0.56129,0.71514,0.68702,0.53014,0.8922,1.58084,1.40769,0.00125923,0.00125923,0.00125923
8,113.064,0.94069,1.20421,1.32741,0.76046,0.66283,0.71159,0.49317,0.96424,1.41029,1.46338,0.00123094,0.00123094,0.00123094
9,126.496,0.91765,1.1886,1.31782,0.65285,0.67284,0.65821,0.47625,0.9856,1.58703,1.4327,0.00120265,0.00120265,0.00120265
10,139.394,0.88052,1.13433,1.29911,0.69076,0.59945,0.61992,0.48073,0.85314,1.40497,1.33647,0.00117435,0.00117435,0.00117435
11,152.631,0.89776,1.08758,1.28896,0.78057,0.6709,0.73969,0.53327,0.86392,1.23624,1.32826,0.00114606,0.00114606,0.00114606
12,165.71,0.88019,1.09227,1.27482,0.80058,0.65838,0.73344,0.58158,0.78857,1.09982,1.2707,0.00111776,0.00111776,0.00111776
13,178.67,0.87336,1.05205,1.29046,0.71857,0.70243,0.71228,0.53527,0.89247,1.21429,1.33295,0.00108947,0.00108947,0.00108947
14,191.364,0.82617,0.98644,1.25446,0.85873,0.72416,0.77675,0.62148,0.74325,0.98377,1.2541,0.00106118,0.00106118,0.00106118
15,204.568,0.8272,0.9801,1.24685,0.67657,0.72717,0.74149,0.58775,0.78547,1.00578,1.27336,0.00103288,0.00103288,0.00103288
16,217.872,0.82061,0.933,1.25084,0.81427,0.72043,0.80603,0.60529,0.81852,0.99524,1.32702,0.00100459,0.00100459,0.00100459
17,231.255,0.81653,0.94462,1.24035,0.6682,0.76296,0.76999,0.61726,0.74873,0.98632,1.25808,0.000976293,0.000976293,0.000976293
18,244.333,0.82323,0.95242,1.24195,0.7897,0.67958,0.78695,0.63022,0.74871,0.99117,1.23873,0.000947999,0.000947999,0.000947999
19,257.402,0.78555,0.89578,1.22694,0.85418,0.79841,0.84447,0.6637,0.73804,0.89997,1.23015,0.000919704,0.000919704,0.000919704
20,270.627,0.78453,0.88562,1.21994,0.90646,0.74833,0.83669,0.6676,0.73575,0.85868,1.19912,0.00089141,0.00089141,0.00089141
21,283.715,0.76834,0.85825,1.20613,0.84801,0.72567,0.79012,0.64801,0.69846,0.9916,1.19022,0.000863116,0.000863116,0.000863116
